Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"14 W COLD-SPRING LN PS BALTIMORE MD 21210"
"Account Number",5522061000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732483-1,2024-01-03,18:00,29.01,kWh
"Electric Usage",G159732483-1,2024-01-03,18:15,29.31,kWh
"Electric Usage",G159732483-1,2024-01-03,18:30,29.85,kWh
"Electric Usage",G159732483-1,2024-01-03,18:45,28.92,kWh
"Electric Usage",G159732483-1,2024-01-03,19:00,29.7,kWh
"Electric Usage",G159732483-1,2024-01-03,19:15,29.7,kWh
"Electric Usage",G159732483-1,2024-01-03,19:30,29.52,kWh
"Electric Usage",G159732483-1,2024-01-03,19:45,29.22,kWh
"Electric Usage",G159732483-1,2024-01-03,20:00,29.25,kWh
"Electric Usage",G159732483-1,2024-01-03,20:15,29.28,kWh
"Electric Usage",G159732483-1,2024-01-03,20:30,29.97,kWh
"Electric Usage",G159732483-1,2024-01-03,20:45,29.13,kWh
"Electric Usage",G159732483-1,2024-01-03,21:00,29.94,kWh
"Electric Usage",G159732483-1,2024-01-03,21:15,28.74,kWh
"Electric Usage",G159732483-1,2024-01-03,21:30,29.94,kWh
"Electric Usage",G159732483-1,2024-01-03,21:45,29.73,kWh
"Electric Usage",G159732483-1,2024-01-03,22:00,29.64,kWh
"Electric Usage",G159732483-1,2024-01-03,22:15,29.4,kWh
"Electric Usage",G159732483-1,2024-01-03,22:30,29.64,kWh
"Electric Usage",G159732483-1,2024-01-03,22:45,29.34,kWh
"Electric Usage",G159732483-1,2024-01-03,23:00,30.03,kWh
"Electric Usage",G159732483-1,2024-01-03,23:15,29.4,kWh
"Electric Usage",G159732483-1,2024-01-03,23:30,29.7,kWh
"Electric Usage",G159732483-1,2024-01-03,23:45,29.13,kWh
"Electric Usage",G159732483-1,2024-01-04,00:00,29.58,kWh
"Electric Usage",G159732483-1,2024-01-04,00:15,29.31,kWh
"Electric Usage",G159732483-1,2024-01-04,00:30,28.98,kWh
"Electric Usage",G159732483-1,2024-01-04,00:45,28.98,kWh
"Electric Usage",G159732483-1,2024-01-04,01:00,29.1,kWh
"Electric Usage",G159732483-1,2024-01-04,01:15,28.86,kWh
"Electric Usage",G159732483-1,2024-01-04,01:30,29.46,kWh
"Electric Usage",G159732483-1,2024-01-04,01:45,28.71,kWh
"Electric Usage",G159732483-1,2024-01-04,02:00,28.86,kWh
"Electric Usage",G159732483-1,2024-01-04,02:15,29.28,kWh
"Electric Usage",G159732483-1,2024-01-04,02:30,28.47,kWh
"Electric Usage",G159732483-1,2024-01-04,02:45,29.07,kWh
"Electric Usage",G159732483-1,2024-01-04,03:00,28.95,kWh
"Electric Usage",G159732483-1,2024-01-04,03:15,28.2,kWh
"Electric Usage",G159732483-1,2024-01-04,03:30,29.49,kWh
"Electric Usage",G159732483-1,2024-01-04,03:45,28.71,kWh
"Electric Usage",G159732483-1,2024-01-04,04:00,29.01,kWh
"Electric Usage",G159732483-1,2024-01-04,04:15,29.31,kWh
"Electric Usage",G159732483-1,2024-01-04,04:30,28.62,kWh
"Electric Usage",G159732483-1,2024-01-04,04:45,29.1,kWh
"Electric Usage",G159732483-1,2024-01-04,05:00,28.68,kWh
"Electric Usage",G159732483-1,2024-01-04,05:15,28.98,kWh
"Electric Usage",G159732483-1,2024-01-04,05:30,29.04,kWh
"Electric Usage",G159732483-1,2024-01-04,05:45,28.5,kWh
"Electric Usage",G159732483-1,2024-01-04,06:00,29.13,kWh
"Electric Usage",G159732483-1,2024-01-04,06:15,28.5,kWh
"Electric Usage",G159732483-1,2024-01-04,06:30,29.13,kWh
"Electric Usage",G159732483-1,2024-01-04,06:45,29.43,kWh
"Electric Usage",G159732483-1,2024-01-04,07:00,28.41,kWh
"Electric Usage",G159732483-1,2024-01-04,07:15,29.61,kWh
"Electric Usage",G159732483-1,2024-01-04,07:30,28.98,kWh
"Electric Usage",G159732483-1,2024-01-04,07:45,30,kWh
"Electric Usage",G159732483-1,2024-01-04,08:00,29.55,kWh
"Electric Usage",G159732483-1,2024-01-04,08:15,29.73,kWh
"Electric Usage",G159732483-1,2024-01-04,08:30,29.76,kWh
"Electric Usage",G159732483-1,2024-01-04,08:45,29.61,kWh
"Electric Usage",G159732483-1,2024-01-04,09:00,30.12,kWh
"Electric Usage",G159732483-1,2024-01-04,09:15,29.46,kWh
"Electric Usage",G159732483-1,2024-01-04,09:30,29.82,kWh
"Electric Usage",G159732483-1,2024-01-04,09:45,30.09,kWh
"Electric Usage",G159732483-1,2024-01-04,10:00,28.59,kWh
"Electric Usage",G159732483-1,2024-01-04,10:15,28.44,kWh
"Electric Usage",G159732483-1,2024-01-04,10:30,28.74,kWh
"Electric Usage",G159732483-1,2024-01-04,10:45,28.23,kWh
"Electric Usage",G159732483-1,2024-01-04,11:00,29.13,kWh
"Electric Usage",G159732483-1,2024-01-04,11:15,29.25,kWh
"Electric Usage",G159732483-1,2024-01-04,11:30,28.44,kWh
"Electric Usage",G159732483-1,2024-01-04,11:45,29.04,kWh
"Electric Usage",G159732483-1,2024-01-04,12:00,28.62,kWh
"Electric Usage",G159732483-1,2024-01-04,12:15,29.31,kWh
"Electric Usage",G159732483-1,2024-01-04,12:30,28.56,kWh
"Electric Usage",G159732483-1,2024-01-04,12:45,28.92,kWh
"Electric Usage",G159732483-1,2024-01-04,13:00,29.1,kWh
