Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"4501 N CHARLES ST BLDG A BALTIMORE MD 21210"
"Account Number",6959340000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732081-1,2024-01-03,04:30,37.13,kWh
"Electric Usage",G159732081-1,2024-01-03,04:45,37.93,kWh
"Electric Usage",G159732081-1,2024-01-03,05:00,36.91,kWh
"Electric Usage",G159732081-1,2024-01-03,05:15,37.98,kWh
"Electric Usage",G159732081-1,2024-01-03,05:30,37.98,kWh
"Electric Usage",G159732081-1,2024-01-03,05:45,37.48,kWh
"Electric Usage",G159732081-1,2024-01-03,06:00,37.24,kWh
"Electric Usage",G159732081-1,2024-01-03,06:15,37.37,kWh
"Electric Usage",G159732081-1,2024-01-03,06:30,38.75,kWh
"Electric Usage",G159732081-1,2024-01-03,06:45,37.71,kWh
"Electric Usage",G159732081-1,2024-01-03,07:00,38.73,kWh
"Electric Usage",G159732081-1,2024-01-03,07:15,38.13,kWh
"Electric Usage",G159732081-1,2024-01-03,07:30,38.78,kWh
"Electric Usage",G159732081-1,2024-01-03,07:45,37.46,kWh
"Electric Usage",G159732081-1,2024-01-03,08:00,37.22,kWh
"Electric Usage",G159732081-1,2024-01-03,08:15,38.06,kWh
"Electric Usage",G159732081-1,2024-01-03,08:30,37.1,kWh
"Electric Usage",G159732081-1,2024-01-03,08:45,37.65,kWh
"Electric Usage",G159732081-1,2024-01-03,09:00,37.18,kWh
"Electric Usage",G159732081-1,2024-01-03,09:15,37.19,kWh
"Electric Usage",G159732081-1,2024-01-03,09:30,36.57,kWh
"Electric Usage",G159732081-1,2024-01-03,09:45,36.62,kWh
"Electric Usage",G159732081-1,2024-01-03,10:00,36.11,kWh
"Electric Usage",G159732081-1,2024-01-03,10:15,36.16,kWh
"Electric Usage",G159732081-1,2024-01-03,10:30,38.03,kWh
"Electric Usage",G159732081-1,2024-01-03,10:45,35.77,kWh
"Electric Usage",G159732081-1,2024-01-03,11:00,36.68,kWh
"Electric Usage",G159732081-1,2024-01-03,11:15,37.55,kWh
"Electric Usage",G159732081-1,2024-01-03,11:30,37.03,kWh
"Electric Usage",G159732081-1,2024-01-03,11:45,37.41,kWh
"Electric Usage",G159732081-1,2024-01-03,12:00,36.18,kWh
"Electric Usage",G159732081-1,2024-01-03,12:15,36.33,kWh
"Electric Usage",G159732081-1,2024-01-03,12:30,36.54,kWh
"Electric Usage",G159732081-1,2024-01-03,12:45,33.24,kWh
"Electric Usage",G159732081-1,2024-01-03,13:00,31.01,kWh
"Electric Usage",G159732081-1,2024-01-03,13:15,30.75,kWh
"Electric Usage",G159732081-1,2024-01-03,13:30,32.42,kWh
"Electric Usage",G159732081-1,2024-01-03,13:45,29.95,kWh
"Electric Usage",G159732081-1,2024-01-03,14:00,31.71,kWh
"Electric Usage",G159732081-1,2024-01-03,14:15,30.92,kWh
"Electric Usage",G159732081-1,2024-01-03,14:30,30.7,kWh
"Electric Usage",G159732081-1,2024-01-03,14:45,31.29,kWh
"Electric Usage",G159732081-1,2024-01-03,15:00,29.73,kWh
"Electric Usage",G159732081-1,2024-01-03,15:15,29.85,kWh
"Electric Usage",G159732081-1,2024-01-03,15:30,30.05,kWh
"Electric Usage",G159732081-1,2024-01-03,15:45,31.2,kWh
"Electric Usage",G159732081-1,2024-01-03,16:00,30.42,kWh
"Electric Usage",G159732081-1,2024-01-03,16:15,29.67,kWh
"Electric Usage",G159732081-1,2024-01-03,16:30,30.22,kWh
"Electric Usage",G159732081-1,2024-01-03,16:45,31.06,kWh
"Electric Usage",G159732081-1,2024-01-03,17:00,32.74,kWh
"Electric Usage",G159732081-1,2024-01-03,17:15,36.73,kWh
"Electric Usage",G159732081-1,2024-01-03,17:30,35.39,kWh
"Electric Usage",G159732081-1,2024-01-03,17:45,35.89,kWh
"Electric Usage",G159732081-1,2024-01-03,18:00,36.32,kWh
"Electric Usage",G159732081-1,2024-01-03,18:15,34.77,kWh
"Electric Usage",G159732081-1,2024-01-03,18:30,35.65,kWh
"Electric Usage",G159732081-1,2024-01-03,18:45,36.17,kWh
"Electric Usage",G159732081-1,2024-01-03,19:00,35.51,kWh
"Electric Usage",G159732081-1,2024-01-03,19:15,35.97,kWh
"Electric Usage",G159732081-1,2024-01-03,19:30,35.35,kWh
"Electric Usage",G159732081-1,2024-01-03,19:45,35.66,kWh
"Electric Usage",G159732081-1,2024-01-03,20:00,35.83,kWh
"Electric Usage",G159732081-1,2024-01-03,20:15,35.48,kWh
"Electric Usage",G159732081-1,2024-01-03,20:30,37,kWh
"Electric Usage",G159732081-1,2024-01-03,20:45,35.94,kWh
"Electric Usage",G159732081-1,2024-01-03,21:00,36.39,kWh
"Electric Usage",G159732081-1,2024-01-03,21:15,35.82,kWh
"Electric Usage",G159732081-1,2024-01-03,21:30,35.63,kWh
"Electric Usage",G159732081-1,2024-01-03,21:45,36.41,kWh
"Electric Usage",G159732081-1,2024-01-03,22:00,35.29,kWh
"Electric Usage",G159732081-1,2024-01-03,22:15,36.3,kWh
"Electric Usage",G159732081-1,2024-01-03,22:30,35.38,kWh
"Electric Usage",G159732081-1,2024-01-03,22:45,35.97,kWh
"Electric Usage",G159732081-1,2024-01-03,23:00,35.83,kWh
"Electric Usage",G159732081-1,2024-01-03,23:15,35.86,kWh
"Electric Usage",G159732081-1,2024-01-03,23:30,36.2,kWh
"Electric Usage",G159732081-1,2024-01-03,23:45,35.63,kWh
"Electric Usage",G159732081-1,2024-01-04,00:00,36.26,kWh
"Electric Usage",G159732081-1,2024-01-04,00:15,35.99,kWh
"Electric Usage",G159732081-1,2024-01-04,00:30,35.63,kWh
"Electric Usage",G159732081-1,2024-01-04,00:45,36.44,kWh
